y**2/(t + 1)
Índice	 |  t  |  Aproximado(u) 	| Real(y) 		| Error
1	  1.0 	-1.44269504088896	-1.44269504088896  	 0
2	  1.1 	-1.34873525483283	-1.34782270646418  	 0.000912548368647625
3	  1.2 	-1.26973794720399	-1.26829940370903  	 0.00143854349496197
4	  1.3 	-1.20234967136413	-1.20061117409314  	 0.00173849727099218
5	  1.4 	-1.14414771293982	-1.14224524227158  	 0.00190247066824467
6	  1.5 	-1.09333961444766	-1.09135666793729  	 0.00198294651037179
7	  1.6 	-1.04857141738952	-1.04655993939590  	 0.00201147799362111
8	  1.7 	-1.00880160222078	-1.00679407494966  	 0.00200752727111775
9	  1.8 	-0.973216005606330	-0.971232654817011  	 0.00198335078931944
10	  1.9 	-0.941169031915503	-0.939222236853531  	 0.00194679506197271
11	  2.0 	-0.912142172279551	-0.910239226626837  	 0.00190294565271365
